Thread,Schedule,Time
1,"static",52.552771
2,"static",41.595736
4,"static",28.386898
8,"static",23.130040
12,"static",20.898721
16,"static",16.132419
32,"static",14.780761
64,"static",15.134333
128,"static",15.955829
256,"static",18.755472
512,"static",25.689859
1024,"static",35.019687
1,"dynamic",50.973613
2,"dynamic",28.333051
4,"dynamic",20.611943
8,"dynamic",15.315667
12,"dynamic",13.029276
16,"dynamic",13.332025
32,"dynamic",13.618324
64,"dynamic",14.373028
128,"dynamic",16.098855
256,"dynamic",21.167279
512,"dynamic",30.328135
1024,"dynamic",48.477408
1,"guided",51.688469
2,"guided",41.410414
4,"guided",28.090419
8,"guided",20.691989
12,"guided",18.582866
16,"guided",15.437203
32,"guided",14.645989
64,"guided",15.283021
128,"guided",15.832165
256,"guided",20.723590
512,"guided",30.385841
1024,"guided",48.709239
