Thread,Schedule,Time
1,"static",0.838811
2,"static",0.636593
4,"static",0.389419
8,"static",0.278729
12,"static",0.256346
16,"static",0.218835
32,"static",0.512816
64,"static",0.745361
128,"static",1.014943
256,"static",2.177746
512,"static",4.223926
1024,"static",9.640441
1,"dynamic",0.840312
2,"dynamic",0.425839
4,"dynamic",0.220947
8,"dynamic",0.144625
12,"dynamic",0.127048
16,"dynamic",0.123735
32,"dynamic",0.240891
64,"dynamic",0.880721
128,"dynamic",1.637744
256,"dynamic",2.992016
512,"dynamic",5.393941
1024,"dynamic",10.820645
1,"guided",0.830172
2,"guided",0.637265
4,"guided",0.386293
8,"guided",0.293888
12,"guided",0.265729
16,"guided",0.516920
32,"guided",0.654261
64,"guided",0.797983
128,"guided",1.680043
256,"guided",3.029385
512,"guided",5.513253
1024,"guided",11.559345
