Thread,Schedule,Time
1,"static",115.938133
2,"static",93.326392
4,"static",64.038352
8,"static",48.162595
12,"static",43.199284
16,"static",35.693173
32,"static",32.466698
64,"static",32.287464
128,"static",33.416578
256,"static",35.564814
512,"static",40.927474
1024,"static",53.982063
1,"dynamic,16",117.005896
2,"dynamic,16",70.403674
4,"dynamic,16",46.826464
8,"dynamic,16",35.174342
12,"dynamic,16",29.999227
16,"dynamic,16",30.377063
32,"dynamic,16",30.726269
64,"dynamic,16",31.848577
128,"dynamic,16",33.271475
256,"dynamic,16",37.734227
512,"dynamic,16",49.320800
1024,"dynamic,16",73.260481
1,"guided,16",116.131675
2,"guided,16",92.492757
4,"guided,16",64.627907
8,"guided,16",44.619984
12,"guided,16",40.549202
16,"guided,16",34.967502
32,"guided,16",32.795776
64,"guided,16",32.205247
128,"guided,16",32.720450
256,"guided,16",36.307659
512,"guided,16",48.707273
1024,"guided,16",73.738416
