Thread,Schedule,Time
1,"static",12.661023
2,"static",10.374831
4,"static",7.689412
8,"static",7.327372
12,"static",6.362627
16,"static",4.601123
32,"static",4.444051
64,"static",4.913394
128,"static",6.072215
256,"static",8.900903
512,"static",13.576423
1024,"static",24.025708
1,"dynamic,16",12.772765
2,"dynamic,16",7.081545
4,"dynamic,16",5.737700
8,"dynamic,16",3.847162
12,"dynamic,16",3.656857
16,"dynamic,16",3.810187
32,"dynamic,16",4.120651
64,"dynamic,16",4.890642
128,"dynamic,16",6.640684
256,"dynamic,16",10.185813
512,"dynamic,16",17.388585
1024,"dynamic,16",32.325034
1,"guided,16",12.764892
2,"guided,16",10.265081
4,"guided,16",7.074778
8,"guided,16",5.622148
12,"guided,16",4.422678
16,"guided,16",3.939595
32,"guided,16",3.964626
64,"guided,16",4.819462
128,"guided,16",6.670226
256,"guided,16",10.423471
512,"guided,16",19.116668
1024,"guided,16",32.120020
